iter	RMSE
0	61.74539821
1	60.15164931
2	58.64284977
3	57.19586059
4	55.76074721
5	54.36520559
6	53.01823205
7	51.75617753
8	50.49845503
9	49.31633124
10	48.17099749
11	46.96219234
12	45.82167131
13	44.77257794
14	43.71603245
15	42.69120365
16	41.71392585
17	40.69391028
18	39.80526015
19	38.88181444
20	37.97905043
21	37.12089559
22	36.31932663
23	35.49426383
24	34.72256242
25	33.95829499
26	33.18849886
27	32.4921274
28	31.80798832
29	31.14918154
30	30.48764898
31	29.8396854
32	29.2357368
33	28.65724009
34	28.0123461
35	27.52516924
36	26.93387047
37	26.38409863
38	25.85732556
39	25.32868273
40	24.79758813
41	24.28633182
42	23.83011544
43	23.37939161
44	22.93905528
45	22.49959113
46	22.06507517
47	21.63738497
48	21.210679
49	20.84028521
50	20.48346789
51	20.12305015
52	19.77112087
53	19.41162738
54	19.09547862
55	18.7818657
56	18.45477095
57	18.13416952
58	17.85404269
59	17.53330982
60	17.2546741
61	16.95232451
62	16.6648987
63	16.41629426
64	16.18373339
65	15.96941982
66	15.73636422
67	15.48967618
68	15.27153805
69	15.07403596
70	14.85661087
71	14.68012605
72	14.4745436
73	14.28791057
74	14.10662716
75	13.9188701
76	13.74367171
77	13.57965065
78	13.42050372
79	13.26609933
80	13.11571281
81	12.97924055
82	12.85066858
83	12.72460312
84	12.59939713
85	12.47951541
86	12.35844094
87	12.23581089
88	12.12895352
89	11.99175347
90	11.86106481
91	11.76114998
92	11.66519896
93	11.54030908
94	11.45819989
95	11.3455229
96	11.25137098
97	11.13083196
98	11.04269902
99	10.98155724
100	10.87974738
101	10.77963415
102	10.70053922
103	10.63203096
104	10.56854561
105	10.49294059
106	10.43245289
107	10.37678246
108	10.31188105
109	10.25967108
110	10.21586521
111	10.15138473
112	10.09984826
113	10.04857482
114	9.978470318
115	9.936659394
116	9.894457879
117	9.842771611
118	9.770528287
119	9.701174883
120	9.663826498
121	9.610275051
122	9.564529817
123	9.501087891
124	9.474206351
125	9.427249044
126	9.374789938
127	9.324981547
128	9.294917374
129	9.262553055
130	9.241280654
131	9.191666549
132	9.141436775
133	9.085508275
134	9.053758093
135	9.015205072
136	8.96788557
137	8.926994052
138	8.879599851
139	8.814842791
140	8.776665269
141	8.734155062
142	8.708235016
143	8.66660557
144	8.631729059
145	8.611132669
146	8.563141768
147	8.526228489
148	8.487225768
149	8.467920234
150	8.428376287
151	8.412463864
152	8.375927356
153	8.338338393
154	8.307358588
155	8.27226508
156	8.246503142
157	8.231333096
158	8.199723076
159	8.145371741
160	8.132082594
161	8.08185545
162	8.029533912
163	8.002166657
164	7.98320292
165	7.946321622
166	7.914535081
167	7.89886246
168	7.879900573
169	7.848755511
170	7.834669746
171	7.802384342
172	7.757338885
173	7.729291005
174	7.719901717
175	7.678643681
176	7.652164401
177	7.62274359
178	7.592577423
179	7.571295557
180	7.543183992
181	7.518675263
182	7.512561374
183	7.484075413
184	7.464568375
185	7.438501687
186	7.412550252
187	7.390827555
188	7.383893825
189	7.358635661
190	7.3469778
191	7.301901828
192	7.287369974
193	7.277224989
194	7.249661944
195	7.232824338
196	7.213594939
197	7.201221356
198	7.178117812
199	7.15971842
200	7.137615886
201	7.129331531
202	7.10732356
203	7.093105394
204	7.071029651
205	7.045596305
206	7.030506296
207	7.012914048
208	7.000706092
209	6.995913652
210	6.988901974
211	6.968487602
212	6.962828138
213	6.952856274
214	6.92865046
215	6.923760211
216	6.912652475
217	6.89285793
218	6.871266958
219	6.859055552
220	6.841463744
221	6.824942977
222	6.818540909
223	6.804983669
224	6.786580518
225	6.768275361
226	6.752336491
227	6.737957424
228	6.712637808
229	6.703853643
230	6.683712119
231	6.667800164
232	6.654924897
233	6.634211479
234	6.625971866
235	6.61268535
236	6.586668079
237	6.566810247
238	6.554896426
239	6.540966907
240	6.522331949
241	6.506345151
242	6.48952813
243	6.482284336
244	6.46631283
245	6.456296935
246	6.446241377
247	6.437467425
248	6.431518221
249	6.412838155
250	6.401900541
251	6.38578553
252	6.374527362
253	6.360183674
254	6.338551509
255	6.326405544
256	6.305828714
257	6.293939405
258	6.287222908
259	6.267550643
260	6.245369366
261	6.224464493
262	6.214756367
263	6.203559209
264	6.198822372
265	6.194586422
266	6.172285117
267	6.14152501
268	6.132374425
269	6.125065457
270	6.09283814
271	6.080392545
272	6.064187394
273	6.043897426
274	6.013018895
275	6.005569723
276	6.002064531
277	5.996783172
278	5.991181842
279	5.978571889
280	5.955151082
281	5.94960271
282	5.932772578
283	5.906072655
284	5.901171877
285	5.872484037
286	5.851176486
287	5.834783456
288	5.824144753
289	5.820835922
290	5.813497355
291	5.807612888
292	5.78597198
293	5.767259786
294	5.747868004
295	5.732963468
296	5.724544791
297	5.72106669
298	5.718107353
299	5.708632195
300	5.696987031
301	5.673434601
302	5.666471452
303	5.660184554
304	5.653517691
305	5.6489728
306	5.646155667
307	5.620028079
308	5.603436276
309	5.596733081
310	5.591433714
311	5.588546945
312	5.582498727
313	5.564083461
314	5.544317137
315	5.540945443
316	5.537042584
317	5.519316303
318	5.503286634
319	5.482770922
320	5.456165836
321	5.450647971
322	5.433182955
323	5.412869775
324	5.400963234
325	5.397954187
326	5.395025585
327	5.388279174
328	5.372321041
329	5.368284723
330	5.344255942
331	5.338833741
332	5.333375601
333	5.321067411
334	5.297787457
335	5.294069868
336	5.275517393
337	5.271950527
338	5.267464023
339	5.256754968
340	5.239644647
341	5.236085328
342	5.218958432
343	5.207871398
344	5.191947566
345	5.175025608
346	5.160361447
347	5.144560924
348	5.120592741
349	5.106994695
350	5.102660302
351	5.088929405
352	5.083272568
353	5.067996442
354	5.045060865
355	5.040718698
356	5.037634238
357	5.032824306
358	5.017794456
359	5.014625324
360	5.012005069
361	5.01043172
362	4.996421259
363	4.994372616
364	4.98988132
365	4.983990326
366	4.970174289
367	4.943838455
368	4.921970972
369	4.912635151
370	4.897908965
371	4.895203967
372	4.881045595
373	4.872178173
374	4.870459217
375	4.861009569
376	4.83829823
377	4.824869268
378	4.823438511
379	4.810524443
380	4.797145986
381	4.776404303
382	4.763546256
383	4.753918371
384	4.751265701
385	4.749476501
386	4.746823137
387	4.734605461
388	4.72368966
389	4.713592182
390	4.710700768
391	4.70524804
392	4.694249981
393	4.684112478
394	4.675661621
395	4.659996686
396	4.657304212
397	4.64797007
398	4.64445412
399	4.627704701
400	4.60782918
401	4.597766191
402	4.59607587
403	4.591154637
404	4.589891899
405	4.580656681
406	4.5772048
407	4.573837017
408	4.561309379
409	4.541197531
410	4.529562781
411	4.528561816
412	4.518758841
413	4.499386805
414	4.488579619
415	4.476745023
416	4.463277617
417	4.45029311
418	4.44673474
419	4.442539538
420	4.429711367
421	4.427950563
422	4.415504828
423	4.413047268
424	4.387629643
425	4.379283734
426	4.369341768
427	4.365850271
428	4.362647642
429	4.359619235
430	4.35291728
431	4.351246274
432	4.347579799
433	4.339575742
434	4.321332615
435	4.318458316
436	4.316532943
437	4.30711262
438	4.298498892
439	4.295536075
440	4.282933534
441	4.278356882
442	4.274890757
443	4.263082953
444	4.254570853
445	4.252008703
446	4.250247533
447	4.248217851
448	4.246274189
449	4.237793652
450	4.234624341
451	4.22443798
452	4.221299334
453	4.216807801
454	4.210750566
455	4.209616338
456	4.201623984
457	4.200123839
458	4.19787453
459	4.190341987
460	4.188494554
461	4.180794611
462	4.17977023
463	4.172023533
464	4.150704192
465	4.149155755
466	4.148282717
467	4.145291228
468	4.133480515
469	4.131352534
470	4.129960881
471	4.111350133
472	4.108475503
473	4.098869658
474	4.096128747
475	4.08655696
476	4.084278884
477	4.083357527
478	4.081975987
479	4.05924427
480	4.040260313
481	4.032818719
482	4.031495565
483	4.023960469
484	4.022611654
485	4.020383601
486	3.999133444
487	3.978918456
488	3.976902742
489	3.973155393
