iter	Passed	Remaining
0	51	93539
1	53	47671
2	54	32606
3	55	24977
4	56	20318
5	57	17170
6	58	14876
7	58	13141
8	59	11766
9	59	10673
10	60	9777
11	60	9026
12	61	8393
13	61	7856
14	62	7378
15	62	6961
16	62	6590
17	63	6257
18	63	5966
19	64	5699
20	64	5450
21	64	5218
22	64	5007
23	65	4823
24	65	4652
25	65	4489
26	66	4335
27	66	4193
28	66	4061
29	66	3936
30	66	3820
31	67	3711
32	67	3608
33	67	3512
34	67	3420
35	68	3334
36	68	3253
37	68	3176
38	68	3103
39	68	3034
40	69	2968
41	69	2905
42	69	2845
43	69	2787
44	70	2732
45	70	2679
46	70	2629
47	70	2580
48	70	2534
49	71	2490
50	71	2447
51	71	2406
52	71	2366
53	72	2329
54	72	2293
55	72	2258
56	72	2224
57	72	2191
58	73	2159
59	73	2128
60	73	2098
61	73	2070
62	74	2042
63	74	2015
64	74	1989
65	74	1968
66	75	1944
67	75	1920
68	75	1897
69	75	1874
70	76	1852
71	76	1831
72	76	1810
73	76	1790
74	76	1770
75	77	1751
76	77	1732
77	77	1714
78	77	1696
79	78	1681
80	78	1664
81	78	1647
82	78	1631
83	79	1615
84	79	1600
85	79	1586
86	79	1571
87	80	1556
88	80	1542
89	80	1528
90	80	1514
91	80	1501
92	81	1488
93	81	1475
94	81	1463
95	81	1451
96	81	1438
97	82	1427
98	82	1415
99	82	1403
100	82	1392
101	83	1381
102	83	1371
103	83	1360
104	83	1350
105	83	1340
106	84	1331
107	84	1323
108	84	1313
109	84	1304
110	85	1295
111	85	1286
112	85	1277
113	85	1268
114	86	1268
115	86	1260
116	87	1252
117	87	1244
118	87	1236
119	87	1228
120	87	1220
121	88	1213
122	88	1205
123	88	1198
124	88	1190
125	89	1183
126	89	1176
127	89	1169
128	89	1162
129	89	1155
130	90	1149
131	90	1142
132	90	1135
133	90	1129
134	91	1125
135	91	1119
136	91	1113
137	91	1107
138	92	1101
139	92	1095
140	92	1089
141	92	1084
142	93	1078
143	93	1072
144	93	1067
145	93	1061
146	93	1056
147	94	1050
148	94	1045
149	94	1040
150	94	1035
151	95	1030
152	95	1025
153	95	1020
154	95	1015
155	95	1010
156	96	1006
157	96	1001
158	96	996
159	96	992
160	96	987
161	97	982
162	97	978
163	97	974
164	97	969
165	98	966
166	98	962
167	98	957
168	98	953
169	99	949
170	99	947
171	99	943
172	99	939
173	100	935
174	100	931
175	100	928
176	100	924
177	101	920
178	101	917
179	101	913
180	101	909
181	101	906
182	102	902
183	102	898
184	102	895
185	102	891
186	103	888
187	103	885
188	103	881
189	103	878
190	103	875
191	104	871
192	104	868
193	104	865
194	105	867
195	105	866
196	106	864
197	106	861
198	106	858
199	106	855
200	107	852
201	107	849
202	107	846
203	107	843
204	108	840
205	108	837
206	108	834
207	108	831
208	108	828
209	109	826
210	109	823
211	109	820
212	109	817
213	109	814
214	110	812
215	110	809
216	110	807
217	110	804
218	111	802
219	111	799
220	111	797
221	111	794
222	112	792
223	112	789
224	112	787
225	112	784
226	112	782
227	113	780
228	113	777
229	113	775
230	113	773
231	114	770
232	114	768
233	114	766
234	114	763
235	114	761
236	115	759
237	115	757
238	115	754
239	115	752
240	116	750
241	116	748
242	116	746
243	116	744
244	116	742
245	117	740
246	117	737
247	117	735
248	117	733
249	117	731
250	118	729
251	118	727
252	118	725
253	118	723
254	119	721
255	119	719
256	119	718
257	119	716
258	120	714
259	120	712
260	120	710
261	120	708
262	120	706
263	121	705
264	121	703
265	121	701
266	121	699
267	122	697
268	122	695
269	122	693
270	122	692
271	122	690
272	123	688
273	123	686
274	123	685
275	123	683
276	123	681
277	124	679
278	124	678
279	124	676
280	124	675
281	125	673
282	125	672
283	125	670
284	125	669
285	126	667
286	126	665
287	126	664
288	126	662
289	126	660
290	127	659
291	127	657
292	127	655
293	127	654
294	127	652
295	128	651
296	128	649
297	128	648
298	128	647
299	129	645
300	129	644
301	129	642
302	129	641
303	129	639
304	130	638
305	130	636
306	130	635
307	130	633
308	131	632
309	131	630
310	131	629
311	131	628
312	131	626
313	132	625
314	132	623
315	132	622
316	132	621
317	132	619
318	133	618
319	133	616
320	133	615
321	133	614
322	134	612
323	134	611
324	134	610
325	134	608
326	134	607
327	135	606
328	135	604
329	135	603
330	135	602
331	135	601
332	136	599
333	136	598
334	136	597
335	136	596
336	137	595
337	137	593
338	137	592
339	137	591
340	137	590
341	138	588
342	138	587
343	138	586
344	138	585
345	139	584
346	139	583
347	139	581
348	139	580
349	139	579
350	140	578
351	140	577
352	140	576
353	140	575
354	141	574
355	141	573
356	141	571
357	141	570
358	141	569
359	142	568
360	142	567
361	142	566
362	142	565
363	143	564
364	143	563
365	143	562
366	143	561
367	143	560
368	144	559
369	144	558
370	144	556
371	144	555
372	145	554
373	145	553
374	145	552
375	145	551
376	145	551
377	146	549
378	146	548
379	146	547
380	146	546
381	147	545
382	147	544
383	147	543
384	147	542
385	147	541
386	148	540
387	148	539
388	148	538
389	148	537
390	148	536
391	149	535
392	149	534
393	149	534
394	149	533
395	150	532
396	150	531
397	150	530
398	150	529
399	150	528
400	151	527
401	151	526
402	151	525
403	151	524
404	152	523
405	152	523
406	152	522
407	152	521
408	152	520
409	153	519
410	153	518
411	153	517
412	153	516
413	154	516
414	154	515
415	154	514
416	154	513
417	155	512
418	155	511
419	155	510
420	155	509
421	155	509
422	156	508
423	156	507
424	156	506
425	156	505
426	157	505
427	157	504
428	157	503
429	157	502
430	158	501
431	158	501
432	158	500
433	158	499
434	158	498
435	159	497
436	159	496
437	159	496
438	159	495
439	159	494
440	160	493
441	160	492
442	160	492
443	160	491
444	161	490
445	161	489
446	161	488
447	161	488
448	161	487
449	162	486
450	162	485
451	162	484
452	162	484
453	163	483
454	163	482
455	163	481
456	163	481
457	163	480
458	164	479
459	164	478
460	164	477
461	164	477
462	164	476
463	165	475
464	165	474
465	165	474
466	165	473
467	166	472
468	166	471
469	166	471
470	166	470
471	166	469
472	167	469
473	167	468
474	167	467
475	167	466
476	168	466
477	168	465
478	168	464
479	168	464
480	168	463
481	169	462
482	169	462
483	169	461
484	170	461
485	170	460
486	170	459
487	170	459
488	170	458
489	171	457
490	171	456
491	171	456
492	171	455
493	172	454
494	172	454
495	172	453
496	172	452
497	172	452
498	173	451
499	173	450
500	173	449
501	173	449
502	173	448
503	174	447
504	174	447
505	174	446
506	174	445
507	174	445
508	175	444
509	175	443
510	175	443
511	175	442
512	176	441
513	176	441
514	176	440
515	177	441
516	177	440
517	177	440
518	178	439
519	178	439
520	178	438
521	178	437
522	179	437
523	179	436
524	179	436
525	179	435
526	180	434
527	180	434
528	180	433
529	180	433
530	180	432
531	181	431
532	181	431
533	181	430
534	181	430
535	182	429
536	182	428
537	182	428
538	182	427
539	183	427
540	183	426
541	183	425
542	183	425
543	183	424
544	184	424
545	184	423
546	184	422
547	184	422
548	185	421
549	185	421
550	185	420
551	185	419
552	185	419
553	186	418
554	186	418
555	186	417
556	186	417
557	187	416
